002278	2	2	0.580287	0
003666	9	10	40.7446	0.1
006828	8	8	5.91997	0
004428	4	4	22.8216	0
002769	1	1	0.320759	0
006141	7	8	12.8438	0.125
003487	7	11	20.6515	0.363636
005119	9	12	23.7756	0.25
006381	5	6	41.5618	0.166667
003359	3	4	20.0524	0.25
001474	6	5	7.17262	0.166667
001670	7	6	7.61953	0.142857
005149	6	7	7.06994	0.142857
006743	5	6	9.44084	0.166667
006055	12	13	43.192	0.0769231
006547	2	2	2.37879	0
001322	6	8	16.5555	0.25
005554	4	3	2.94712	0.25
000161	8	13	7.87469	0.384615
004037	3	4	23.2842	0.25
007348	2	1	0.064415	0.5
007038	4	4	0.789487	0
005651	3	3	13.6972	0
004250	3	4	2.72027	0.25
006506	5	5	5.19415	0
006797	1	1	1.01309	0
001446	8	9	32.4867	0.111111
002176	9	9	12.2629	0
004249	7	7	32.9938	0
001974	5	4	9.44741	0.2
004986	1	1	0.530434	0
004157	4	5	10.0406	0.2
004378	8	10	18.5108	0.2
005824	3	4	3.01908	0.25
005389	3	4	14.6877	0.25
006471	1	1	0.367447	0
004945	8	11	8.96293	0.272727
002256	5	5	16.6426	0
001866	2	2	39.0828	0
003341	14	12	33.4226	0.142857
004119	6	7	7.20906	0.142857
007090	1	1	1.0802	0
003036	3	5	55.8274	0.4
006133	3	3	0.554163	0
006095	3	4	7.0291	0.25
002794	7	8	12.0206	0.125
002642	1	1	1.10895	0
003204	3	2	6.81788	0.333333
007247	3	4	2.53316	0.25
004495	1	1	0.12648	0
005612	4	5	1.32888	0.2
002797	4	4	23.8649	0
006054	8	8	29.7958	0
005360	7	9	30.7804	0.222222
003021	7	9	31.7627	0.222222
002499	2	2	0.086554	0
003364	4	4	0.831419	0
007406	7	7	8.88437	0
006316	1	1	0.105064	0
003742	4	5	4.65766	0.2
001803	3	3	1.91822	0
000428	3	4	2.15003	0.25
002397	6	7	23.8667	0.142857
004168	1	1	0.436753	0
006938	2	2	9.67312	0
001692	6	9	3.2594	0.333333
004722	6	8	4.94364	0.25
000881	2	2	0.796826	0
002138	3	4	14.0579	0.25
003718	9	16	8.96429	0.4375
003079	2	2	0.171012	0
001447	4	5	6.99818	0.2
